Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MSH- AMBULATORY CARE,Peds GU,HOSP PEDS GU,0,,,
MSH- AMBULATORY CARE,Peds Neurology,HOSP PEDS NEURO,0,,,
MSH- AMBULATORY CARE,Pediatrics,HOSP PEDS SCH HEALTH,197,,,
MSH- AMBULATORY CARE,Podiatry,HOSP PODIATRY,1068,,,
MSH- AMBULATORY CARE,Podiatry,HOSP PODIATRY ,0,,,DEACTIVATE?
MSH- AMBULATORY CARE,Peds Psychiatry,HOSP PSY CLINIC ON STE,0,,,
MSH- AMBULATORY CARE,Psych Shared,HOSP PSYCH ADULT 1160,5967,,,
MSH- AMBULATORY CARE,Psych Shared,HOSP PSYCH ADULT KCC,0,,,
MSH- AMBULATORY CARE,Psych Shared,HOSP PSYCH CHILD,2542,,,
MSH- AMBULATORY CARE,Psych Shared,HOSP PSYCH GERIATRICS,830,,,
MSH- AMBULATORY CARE,Child Adolescent Psychiatry,HOSP PSYCH IAC,0,,,
MSH- AMBULATORY CARE,Psychiatry Addiction,HOSP PSYCH PHP,890,,,
MSH- AMBULATORY CARE,Psych Shared,HOSP PSYCH TRAINING,29,,,
MSH- AMBULATORY CARE,Psychiatry,HOSP PSYCH TRAINING,29,,,
MSH- AMBULATORY CARE,Nephrology,HOSP RENAL,548,,,
MSH- AMBULATORY CARE,Rheumatology,HOSP RHEUMATOLOGY,0,,,
MSH- AMBULATORY CARE,Adolescent Medicine,HOSP SBH BREC MEDICAL,300,,,
MSH- AMBULATORY CARE,Adolescent Medicine,HOSP SBH JREC MEDICAL,576,,,
MSH- AMBULATORY CARE,Adolescent Medicine,HOSP SBH MCSM MEDICAL,647,,,
MSH- AMBULATORY CARE,Pediatrics,HOSP SBH PS 108,485,,,
MSH- AMBULATORY CARE,Pediatrics,HOSP SBH PS 38,542,,,
MSH- AMBULATORY CARE,Pediatrics,HOSP SBH PS 83/PS 182,395,,,
MSH- AMBULATORY CARE,Pediatrics,HOSP SBH TPEC,582,,,
MSH- AMBULATORY CARE,Surgery,HOSP SURG COLORECTAL,114,,,
MSH- AMBULATORY CARE,Surgery,HOSP SURG GENERAL,167,,,
MSH- AMBULATORY CARE,Surgery,HOSP SURG INCONTINENCE,30,,,
MSH- AMBULATORY CARE,Surgery,HOSP SURG PLASTIC,408,,,
MSH- AMBULATORY CARE,Urology,HOSP SURG UROLOGY,327,,,
MSH- AMBULATORY CARE,Surgery,HOSP SURG VASCULAR,59,,,
MSH- AMBULATORY CARE,Internal Medicine,IMA PAIN MANAGEMENT,259,,,
MSH- AMBULATORY CARE,Psych Shared,IMA PSYCH,0,,,
MSH- AMBULATORY CARE,Neurology,MS NEUROPSYCHOLOGY,134,,,
MSH- AMBULATORY CARE,Internal Medicine,MSHS TELEHEALTH,22,,,F/U
MSH- AMBULATORY CARE,*No specialty,ORAL SURGERY CLINIC,0,,,
MSH- AMBULATORY CARE,Pediatrics,PEDS VISITING DOC HSE CALL,36,,,
MSH- AMBULATORY CARE,Occupational Therapy,REHAB OCCUPATIONAL THE,2337,,,
